variant,model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Baseline (Kaggle only),LogReg,0.5698,0.7876712328767124,0.15918367346938775,0.78,0.26440677966101694,0.8406995884773663,0.25926611818868506,766,206,11,39
Baseline (Kaggle only),RandomForest,0.1756,0.8307240704500979,0.16393442622950818,0.6,0.2575107296137339,0.8216255144032921,0.19445103199919983,819,153,20,30
Baseline (Kaggle only),GradBoost,0.1024,0.8737769080234834,0.1937984496124031,0.5,0.27932960893854747,0.818261316872428,0.18324663462262672,868,104,25,25
Variant A (+ NHANES positives),LogReg,0.5734,0.8424657534246576,0.17159763313609466,0.58,0.2648401826484018,0.7977366255144033,0.1865323082531697,832,140,21,29
Variant A (+ NHANES positives),RandomForest,0.5915,0.923679060665362,0.18181818181818182,0.16,0.1702127659574468,0.808641975308642,0.16147811264113118,936,36,42,8
Variant A (+ NHANES positives),GradBoost,0.4313,0.9129158512720157,0.14545454545454545,0.16,0.1523809523809524,0.793775720164609,0.16889184527121986,925,47,42,8
Variant B (+ pos + 3k negs),LogReg,0.7408,0.910958904109589,0.22666666666666666,0.34,0.272,0.8190329218106995,0.21466411550094533,914,58,33,17
Variant B (+ pos + 3k negs),RandomForest,0.2516,0.8424657534246576,0.19337016574585636,0.7,0.30303030303030304,0.8136111111111112,0.20396442137847512,826,146,15,35
Variant B (+ pos + 3k negs),GradBoost,0.2378,0.901174168297456,0.18518518518518517,0.3,0.22900763358778625,0.8124382716049383,0.19429065256763955,906,66,35,15
